Country,Forecast
Ghana,53.05074352921625
Vietnam,51.43824648356991
Burundi,46.253760139241905
Comoros,45.83294160412083
Cambodia,45.04609487796279
Mali,43.139276786407606
Burkina Faso,41.963718295234145
Myanmar,41.93936399310081
Tanzania,40.766301172145006
Nepal,40.29855947253503
Guinea,37.91745863978343
Bangladesh,35.66995935814697
Ethiopia,34.763004614930395
Kenya,34.366745482381674
Benin,34.01922619295152
Gambia,33.967741500881345
Laos,33.6899905073179
Philippines,27.636903852340694
Uganda,27.632062077466998
Paraguay,23.37166899907119
Chad,22.503936272339303
Indonesia,22.4749301767841
Guatemala,21.556820762827613
Malaysia,20.198510358915712
Qatar,19.35021140775757
Turkey,19.267322896071363
Sudan,19.247338525437925
Bahrain,18.019146270782542
Egypt,17.352323846867534
Morocco,17.308134570079673
China,16.985861980514343
Luxembourg,16.13346470831287
Tunisia,15.74627497424126
Iran,15.049919832499768
El Salvador,13.802896230103045
Honduras,13.222913466184067
India,10.62137420237201
Bahamas,9.857120151705232
Mozambique,9.141309174019426
Ecuador,6.215246670823163
Uruguay,6.192945448307526
Trinidad and Tobago,5.580901494653361
South Sudan,4.295641857990745
Somalia,3.300448692024432
Bulgaria,2.2801366462019246
Uzbekistan,2.182829121666785
Kyrgyzstan,2.1506840982333557
Mexico,1.6612079909673838
Kiribati,1.29926447067281
Armenia,1.273622288464324
Kazakhstan,0.8923232708000484
Spain,0.8329795753367648
Turkmenistan,0.6270813203300492
Australia,0.44374464430576666
Venezuela,0.4006479892423158
Namibia,0.2517364997946032
Estonia,0.24780534635866047
Georgia,0.21833455850057248
Panama,0.21666620325493113
Peru,0.15145243320719715
Saint Vincent and the Grenadines,0.12108429095070505
Madagascar,0.06304232260920628
East Timor,0.03206744034709175
Guinea-Bissau,0.020163279560165392
Albania,0.0
Andorra,0.0
Anguilla,0.0
Antigua and Barbuda,0.0
Argentina,0.0
Austria,0.0
Azerbaijan,0.0
Belgium,0.0
Bhutan,0.0
Bolivia,0.0
Bosnia and Herzegovina,0.0
Botswana,0.0
Brazil,0.0
Cameroon,0.0
Canada,0.0
Cape Verde,0.0
Central African Republic,0.0
Chile,0.0
Colombia,0.0
Congo,0.0
Cook Islands,0.0
Costa Rica,0.0
Cote d'Ivoire,0.0
Croatia,0.0
Cuba,0.0
Cyprus,0.0
Democratic Republic of Congo,0.0
Dominican Republic,0.0
Equatorial Guinea,0.0
Faroe Islands,0.0
Fiji,0.0
Gabon,0.0
Germany,0.0
Greenland,0.0
Guyana,0.0
Haiti,0.0
Iceland,0.0
Iraq,0.0
Ireland,0.0
Israel,0.0
Jamaica,0.0
Jordan,0.0
Kosovo,0.0
Kuwait,0.0
Lebanon,0.0
Lesotho,0.0
Lithuania,0.0
Malawi,0.0
Mauritania,0.0
Mauritius,0.0
New Caledonia,0.0
New Zealand,0.0
Nicaragua,0.0
Niger,0.0
North Korea,0.0
Palestine,0.0
Poland,0.0
Saudi Arabia,0.0
Senegal,0.0
Serbia,0.0
Seychelles,0.0
Sierra Leone,0.0
South Africa,0.0
Sri Lanka,0.0
Syria,0.0
Togo,0.0
United Arab Emirates,0.0
World,0.0
Yemen,0.0
Zimbabwe,0.0
Norway,-0.004888477618266052
Samoa,-0.017540207983657297
Papua New Guinea,-0.023831830321256575
Djibouti,-0.03621267920583193
Montenegro,-0.0694985446911005
Algeria,-0.07639703582394475
Vanuatu,-0.09534320103323068
Rwanda,-0.11784236578962748
Japan,-0.141218440228144
Afghanistan,-0.16709635199022443
North Macedonia,-0.19952106494477562
French Polynesia,-0.26027991361097236
Solomon Islands,-0.26922947430756494
Eswatini,-0.30450230942979317
Oman,-0.3335003497065969
South Korea,-0.4135376581194805
Brunei,-0.7877397690435544
Saint Helena,-1.006180680777092
Nigeria,-1.3258996050252563
Russia,-1.4206658984819853
Hong Kong,-1.967058680320406
Romania,-2.100056766531111
Libya,-2.3502291705659673
Belarus,-2.5228442670516245
Thailand,-2.653293256419346
Moldova,-3.3385439585835996
United States,-3.647460455790849
Pakistan,-3.758490198356995
Suriname,-3.9363693234999175
Angola,-4.609761889341144
Sao Tome and Principe,-6.948677692385317
Belize,-7.057574220203165
Zambia,-7.148309420862859
Switzerland,-8.180786368862726
Slovakia,-9.514192401060455
Portugal,-9.875845680577214
Mongolia,-9.919856252822854
Czechia,-10.279947890924973
Italy,-10.434219365457736
Slovenia,-11.738383433737425
Liberia,-11.815499058347172
France,-15.755902909261692
Eritrea,-17.043915800790458
Hungary,-17.689424038348676
Sweden,-18.782437770067034
Netherlands,-19.021039639620568
Tajikistan,-26.67431077621673
Greece,-29.60291212048422
Denmark,-36.44710283387019
Finland,-38.55907483623481
United Kingdom,-38.58388626026622
Latvia,-38.59499447189177
Ukraine,-231.07721066338067
